,kdeğer,yerli,yabancı_g,yabancı_ç,yıl,sınıf,sınıf2
TUR_28,0.2826811895915333,0.5208063513318403,0.19651246015295062,0.2632484023654971,2010,1,imalat
TUR_29,0.23339579377448785,0.5228678908816132,0.24373631503844947,0.4461036870886235,2010,1,imalat
TUR_30,0.5587691884512326,0.29992994850699456,0.1413008582361318,0.3138607309205519,2010,1,imalat
TUR_31T33,0.3554722651872026,0.5062668873762574,0.13826084842168457,0.11673496000391487,2010,1,imalat
TUR_35,0.20385037639749717,0.7184083126314089,0.07774131091902,0.005203562958332814,2010,4,ins_en_ç
TUR_36T39,0.43092292137867155,0.5163704389270273,0.052706639047858675,0.004782134567342148,2010,4,ins_en_ç
TUR_41T43,0.3188802125032474,0.598718714967599,0.08240107233779626,0.005016080308797378,2010,4,ins_en_ç
TUR_45T47,0.6126085314366051,0.3492344781921284,0.038156990306988846,0.12053916277197871,2010,5,hizm
TUR_49,0.5334709816399195,0.39041953646850797,0.07610948182439922,0.07736583418917638,2010,5,hizm
TUR_50,0.5626107212210781,0.340702433794985,0.09668684441377311,0.21012274253261737,2010,5,hizm
TUR_51,0.23213458972522194,0.5680207527118295,0.1998446578813946,0.6161789690206162,2010,5,hizm
TUR_52,0.5723317090473091,0.3717680156518725,0.055900275055239736,0.13924351949373368,2010,5,hizm
TUR_53,0.5555485348493127,0.4034349182078717,0.04101654372459079,0.04384509308533884,2010,5,hizm
TUR_55T56,0.4466254805870228,0.5151753583325389,0.03819916120633621,0.18661053603359992,2010,5,hizm
TUR_58T60,0.37091634917459926,0.5663412283108663,0.06274242128679555,0.045520202337107636,2010,5,hizm
TUR_61,0.725106970628648,0.25330703587232034,0.021585992480655597,0.030945092256872638,2010,5,hizm
TUR_62T63,0.6421703220630651,0.30967099732367975,0.04815867776413014,0.032997979517954405,2010,5,hizm
TUR_64T66,0.643982534229295,0.32246611792729324,0.03355134841493763,0.04520826697484546,2010,5,hizm
TUR_68,0.8979641602546284,0.08988185303420597,0.01215398655829422,0.021393242468296818,2010,5,hizm
TUR_69T75,0.5830340187481452,0.3793660285126458,0.0375999528089972,0.012979361298848293,2010,5,hizm
TUR_77T82,0.5799966940942767,0.3734533230112249,0.04654998356784842,0.030994082240053636,2010,5,hizm
TUR_84,0.6891474939052881,0.27731753529329817,0.03353497030014859,0.006637689802486336,2010,5,hizm
TUR_85,0.8380768325131537,0.14998035494239936,0.011942812292222162,0.01130645201546721,2010,5,hizm
TUR_86T88,0.6252009704122774,0.33517045388787037,0.039628575204630444,0.009423653445657336,2010,5,hizm
TUR_90T93,0.563876251499994,0.4097085264841907,0.026415223396267475,0.17367826798957825,2010,5,hizm
